RAIL_OPR_ISTT_CD	RAIL_OPR_ISTT_NM	LN_CD	LN_NM	STIN_CD	STIN_NM
AR	공항철도	A1	공항철도	A01	서울역
AR	공항철도	A1	공항철도	A02	공덕
AR	공항철도	A1	공항철도	A03	홍대입구
AR	공항철도	A1	공항철도	A04	디지털미디어시티
AR	공항철도	A1	공항철도	A042	마곡나루
AR	공항철도	A1	공항철도	A05	김포공항
AR	공항철도	A1	공항철도	A06	계양
AR	공항철도	A1	공항철도	A07	검암
AR	공항철도	A1	공항철도	A071	청라국제도시
AR	공항철도	A1	공항철도	A072	영종
AR	공항철도	A1	공항철도	A08	운서
AR	공항철도	A1	공항철도	A09	공항화물청사
AR	공항철도	A1	공항철도	A10	인천공항1터미널
AR	공항철도	A1	공항철도	A11	인천공항2터미널
AR	공항철도	M1	인천자기부상	M01	인천공항1터미널
AR	공항철도	M1	인천자기부상	M02	장기주차장
AR	공항철도	M1	인천자기부상	M03	합동청사
AR	공항철도	M1	인천자기부상	M04	파라다이스시티
AR	공항철도	M1	인천자기부상	M05	워터파크
AR	공항철도	M1	인천자기부상	M06	용유
BG	부산김해경전철	B1	부산김해경전철	1	사상(서부터미널)
BG	부산김해경전철	B1	부산김해경전철	2	괘법르네시떼(강변공원)
BG	부산김해경전철	B1	부산김해경전철	3	서부산유통지구(금호마을)
BG	부산김해경전철	B1	부산김해경전철	4	공항
BG	부산김해경전철	B1	부산김해경전철	5	덕두
BG	부산김해경전철	B1	부산김해경전철	6	등구
BG	부산김해경전철	B1	부산김해경전철	7	대저
BG	부산김해경전철	B1	부산김해경전철	8	평강
BG	부산김해경전철	B1	부산김해경전철	9	대사
BG	부산김해경전철	B1	부산김해경전철	10	불암
BG	부산김해경전철	B1	부산김해경전철	11	지내
BG	부산김해경전철	B1	부산김해경전철	12	김해대학(안동)
BG	부산김해경전철	B1	부산김해경전철	13	인제대(활천)
BG	부산김해경전철	B1	부산김해경전철	14	김해시청
BG	부산김해경전철	B1	부산김해경전철	15	부원
BG	부산김해경전철	B1	부산김해경전철	16	봉황(김해여객터미널)
BG	부산김해경전철	B1	부산김해경전철	17	수로왕릉(김해보건소)
BG	부산김해경전철	B1	부산김해경전철	18	박물관
BG	부산김해경전철	B1	부산김해경전철	19	연지공원
BG	부산김해경전철	B1	부산김해경전철	20	장신대(화정)
BG	부산김해경전철	B1	부산김해경전철	21	가야대(삼계)
BS	부산교통공사	1	1호선	95	다대포해수욕장
BS	부산교통공사	1	1호선	96	다대포항
BS	부산교통공사	1	1호선	97	낫개
BS	부산교통공사	1	1호선	98	신장림
BS	부산교통공사	1	1호선	99	장림
BS	부산교통공사	1	1호선	100	동매
BS	부산교통공사	1	1호선	101	신평
BS	부산교통공사	1	1호선	102	하단(부산본병원)
BS	부산교통공사	1	1호선	103	당리(사하구청)
BS	부산교통공사	1	1호선	104	사하
BS	부산교통공사	1	1호선	105	괴정
BS	부산교통공사	1	1호선	106	대티(동주대학)
BS	부산교통공사	1	1호선	107	서대신
BS	부산교통공사	1	1호선	108	동대신
BS	부산교통공사	1	1호선	109	토성
BS	부산교통공사	1	1호선	110	자갈치
BS	부산교통공사	1	1호선	111	남포
BS	부산교통공사	1	1호선	112	중앙
BS	부산교통공사	1	1호선	113	부산
BS	부산교통공사	1	1호선	114	초량
BS	부산교통공사	1	1호선	115	부산진
BS	부산교통공사	1	1호선	116	좌천
BS	부산교통공사	1	1호선	117	범일
BS	부산교통공사	1	1호선	118	범내골
BS	부산교통공사	1	1호선	119	서면
BS	부산교통공사	1	1호선	120	부전(부산시민공원·송상현광장)
BS	부산교통공사	1	1호선	121	양정
BS	부산교통공사	1	1호선	122	시청(연제)
BS	부산교통공사	1	1호선	123	연산
BS	부산교통공사	1	1호선	124	교대
BS	부산교통공사	1	1호선	125	동래
BS	부산교통공사	1	1호선	126	명륜
BS	부산교통공사	1	1호선	127	온천장
BS	부산교통공사	1	1호선	128	부산대
BS	부산교통공사	1	1호선	129	장전(부산가톨릭대학교)
BS	부산교통공사	1	1호선	130	구서
BS	부산교통공사	1	1호선	131	두실
BS	부산교통공사	1	1호선	132	남산(부산외국대학교)
BS	부산교통공사	1	1호선	133	범어사
BS	부산교통공사	1	1호선	134	노포(종합버스터미널)
BS	부산교통공사	2	2호선	201	장산(해운대백병원)
BS	부산교통공사	2	2호선	202	중동
BS	부산교통공사	2	2호선	203	해운대
BS	부산교통공사	2	2호선	204	동백
BS	부산교통공사	2	2호선	205	벡스코(시립미술관)
BS	부산교통공사	2	2호선	206	센텀시티(BEXCO·신세계)
BS	부산교통공사	2	2호선	207	민락
BS	부산교통공사	2	2호선	208	수영
BS	부산교통공사	2	2호선	209	광안
BS	부산교통공사	2	2호선	210	금련산
BS	부산교통공사	2	2호선	211	남천(KBS·수영구청)
BS	부산교통공사	2	2호선	212	경성대·부경대(동명대학교)
BS	부산교통공사	2	2호선	213	대연(고려병원)
BS	부산교통공사	2	2호선	214	못골(남구청)
BS	부산교통공사	2	2호선	215	지게골
BS	부산교통공사	2	2호선	216	문현
BS	부산교통공사	2	2호선	217	국제금융센터·부산은행
BS	부산교통공사	2	2호선	218	전포
BS	부산교통공사	2	2호선	219	서면
BS	부산교통공사	2	2호선	220	부암(온종합병원)
BS	부산교통공사	2	2호선	221	가야
BS	부산교통공사	2	2호선	222	동의대
BS	부산교통공사	2	2호선	223	개금
BS	부산교통공사	2	2호선	224	냉정
BS	부산교통공사	2	2호선	225	주례
BS	부산교통공사	2	2호선	226	감전(사상구청)
BS	부산교통공사	2	2호선	227	사상(서부터미널)
BS	부산교통공사	2	2호선	228	덕포
BS	부산교통공사	2	2호선	229	모덕
BS	부산교통공사	2	2호선	230	모라
BS	부산교통공사	2	2호선	231	구남
BS	부산교통공사	2	2호선	232	구명
BS	부산교통공사	2	2호선	233	덕천(부산과기대)
BS	부산교통공사	2	2호선	234	수정(방송통신대)
BS	부산교통공사	2	2호선	235	화명
BS	부산교통공사	2	2호선	236	율리
BS	부산교통공사	2	2호선	237	동원
BS	부산교통공사	2	2호선	238	금곡
BS	부산교통공사	2	2호선	239	호포
BS	부산교통공사	2	2호선	240	증산
BS	부산교통공사	2	2호선	241	부산대양산캠퍼스
BS	부산교통공사	2	2호선	242	남양산(범어)
BS	부산교통공사	2	2호선	243	양산(시청·동원과학기술대학교)
BS	부산교통공사	3	3호선	301	수영
BS	부산교통공사	3	3호선	302	망미(병무청)
BS	부산교통공사	3	3호선	303	배산
BS	부산교통공사	3	3호선	304	물만골
BS	부산교통공사	3	3호선	305	연산
BS	부산교통공사	3	3호선	306	거제(법원·검찰청)
BS	부산교통공사	3	3호선	307	종합운동장
BS	부산교통공사	3	3호선	308	사직
BS	부산교통공사	3	3호선	309	미남
BS	부산교통공사	3	3호선	310	만덕
BS	부산교통공사	3	3호선	311	남산정(부산폴리텍대학)
BS	부산교통공사	3	3호선	312	숙등(부민병원)
BS	부산교통공사	3	3호선	313	덕천(부산과기대)
BS	부산교통공사	3	3호선	314	구포
BS	부산교통공사	3	3호선	315	강서구청
BS	부산교통공사	3	3호선	316	체육공원
BS	부산교통공사	3	3호선	317	대저
BS	부산교통공사	4	4호선	401	미남
BS	부산교통공사	4	4호선	402	동래
BS	부산교통공사	4	4호선	403	수안
BS	부산교통공사	4	4호선	404	낙민
BS	부산교통공사	4	4호선	405	충렬사(안락)
BS	부산교통공사	4	4호선	406	명장
BS	부산교통공사	4	4호선	407	서동
BS	부산교통공사	4	4호선	408	금사
BS	부산교통공사	4	4호선	409	반여농산물시장
BS	부산교통공사	4	4호선	410	석대
BS	부산교통공사	4	4호선	411	영산대(아랫반송)
BS	부산교통공사	4	4호선	412	동부산대학(윗반송)
BS	부산교통공사	4	4호선	413	고촌
BS	부산교통공사	4	4호선	414	안평(고촌주택단지)
DG	대구도시철도	1	1호선	115	설화명곡
DG	대구도시철도	1	1호선	116	화원
DG	대구도시철도	1	1호선	117	대곡(정부대구청사)
DG	대구도시철도	1	1호선	118	진천
DG	대구도시철도	1	1호선	119	월배
DG	대구도시철도	1	1호선	120	상인
DG	대구도시철도	1	1호선	121	월촌
DG	대구도시철도	1	1호선	122	송현
DG	대구도시철도	1	1호선	123	서부정류장(관문시장)
DG	대구도시철도	1	1호선	124	대명
DG	대구도시철도	1	1호선	125	안지랑
DG	대구도시철도	1	1호선	126	현충로
DG	대구도시철도	1	1호선	127	영대병원
DG	대구도시철도	1	1호선	128	교대
DG	대구도시철도	1	1호선	129	명덕(2.28민주운동기념회관)
DG	대구도시철도	1	1호선	130	반월당
DG	대구도시철도	1	1호선	131	중앙로
DG	대구도시철도	1	1호선	132	대구역
DG	대구도시철도	1	1호선	133	칠성시장
DG	대구도시철도	1	1호선	134	신천(경북대입구)
DG	대구도시철도	1	1호선	135	동대구역
DG	대구도시철도	1	1호선	136	동구청(큰고개)
DG	대구도시철도	1	1호선	137	아양교
DG	대구도시철도	1	1호선	138	동촌
DG	대구도시철도	1	1호선	139	해안
DG	대구도시철도	1	1호선	140	방촌
DG	대구도시철도	1	1호선	141	용계
DG	대구도시철도	1	1호선	142	율하
DG	대구도시철도	1	1호선	143	신기
DG	대구도시철도	1	1호선	144	반야월
DG	대구도시철도	1	1호선	145	각산
DG	대구도시철도	1	1호선	146	안심(혁신도시·첨복단지)
DG	대구도시철도	2	2호선	216	문양
DG	대구도시철도	2	2호선	217	다사
DG	대구도시철도	2	2호선	218	대실
DG	대구도시철도	2	2호선	219	강창
DG	대구도시철도	2	2호선	220	계명대
DG	대구도시철도	2	2호선	221	성서산업단지
DG	대구도시철도	2	2호선	222	이곡
DG	대구도시철도	2	2호선	223	용산(서부법원·검찰청입구)
DG	대구도시철도	2	2호선	224	죽전
DG	대구도시철도	2	2호선	225	감삼
DG	대구도시철도	2	2호선	226	두류
DG	대구도시철도	2	2호선	227	내당
DG	대구도시철도	2	2호선	228	반고개
DG	대구도시철도	2	2호선	229	청라언덕
DG	대구도시철도	2	2호선	230	반월당
DG	대구도시철도	2	2호선	231	경대병원
DG	대구도시철도	2	2호선	232	대구은행
DG	대구도시철도	2	2호선	233	범어
DG	대구도시철도	2	2호선	234	수성구청(KBS)
DG	대구도시철도	2	2호선	235	만촌
DG	대구도시철도	2	2호선	236	담티(산대·대륜)
DG	대구도시철도	2	2호선	237	연호
DG	대구도시철도	2	2호선	238	대공원
DG	대구도시철도	2	2호선	239	고산
DG	대구도시철도	2	2호선	240	신매
DG	대구도시철도	2	2호선	241	사월
DG	대구도시철도	2	2호선	242	정평
DG	대구도시철도	2	2호선	243	임당
DG	대구도시철도	2	2호선	244	영남대
DG	대구도시철도	3	3호선	312	칠곡경대병원
DG	대구도시철도	3	3호선	313	학정
DG	대구도시철도	3	3호선	314	팔거(국립농관원·통계청)
DG	대구도시철도	3	3호선	315	동천
DG	대구도시철도	3	3호선	316	칠곡운암
DG	대구도시철도	3	3호선	317	구암
DG	대구도시철도	3	3호선	318	태전
DG	대구도시철도	3	3호선	319	매천
DG	대구도시철도	3	3호선	320	매천시장
DG	대구도시철도	3	3호선	321	팔달
DG	대구도시철도	3	3호선	322	공단
DG	대구도시철도	3	3호선	323	만평
DG	대구도시철도	3	3호선	324	팔달시장
DG	대구도시철도	3	3호선	325	원대
DG	대구도시철도	3	3호선	326	북구청
DG	대구도시철도	3	3호선	327	달성공원
DG	대구도시철도	3	3호선	328	서문시장(동산병원)
DG	대구도시철도	3	3호선	329	청라언덕
DG	대구도시철도	3	3호선	330	남산
DG	대구도시철도	3	3호선	331	명덕(2.28민주운동기념회관)
DG	대구도시철도	3	3호선	332	건들바위
DG	대구도시철도	3	3호선	333	대봉교
DG	대구도시철도	3	3호선	334	수성시장
DG	대구도시철도	3	3호선	335	수성구민운동장
DG	대구도시철도	3	3호선	336	어린이회관
DG	대구도시철도	3	3호선	337	황금
DG	대구도시철도	3	3호선	338	수성못(TBC)
DG	대구도시철도	3	3호선	339	지산
DG	대구도시철도	3	3호선	340	범물
DG	대구도시철도	3	3호선	341	용지
DJ	대전도시철도	1	1호선	101	판암(대전대)
DJ	대전도시철도	1	1호선	102	신흥
DJ	대전도시철도	1	1호선	103	대동(우송대)
DJ	대전도시철도	1	1호선	104	대전
DJ	대전도시철도	1	1호선	105	중앙로
DJ	대전도시철도	1	1호선	106	중구청
DJ	대전도시철도	1	1호선	107	서대전네거리
DJ	대전도시철도	1	1호선	108	오룡
DJ	대전도시철도	1	1호선	109	용문
DJ	대전도시철도	1	1호선	110	탄방
DJ	대전도시철도	1	1호선	111	시청
DJ	대전도시철도	1	1호선	112	정부청사
DJ	대전도시철도	1	1호선	113	갈마
DJ	대전도시철도	1	1호선	114	월평(한국과학기술원)
DJ	대전도시철도	1	1호선	115	갑천
DJ	대전도시철도	1	1호선	116	유성온천(충남대·목원대)
DJ	대전도시철도	1	1호선	117	구암
DJ	대전도시철도	1	1호선	118	현충원(한밭대)
DJ	대전도시철도	1	1호선	119	월드컵경기장(노은도매시장)
DJ	대전도시철도	1	1호선	120	노은
DJ	대전도시철도	1	1호선	121	지족(침신대)
DJ	대전도시철도	1	1호선	122	반석(칠성대)
DX	DX라인	D1	신분당선	D07	강남
DX	DX라인	D1	신분당선	D08	양재(서초구청)
DX	DX라인	D1	신분당선	D09	양재시민의숲(매헌)
DX	DX라인	D1	신분당선	D10	청계산입구
DX	DX라인	D1	신분당선	D11	판교(판교테크노밸리)
DX	DX라인	D1	신분당선	D12	정자
DX	DX라인	D1	신분당선	D13	미금(분당서울대병원)
DX	DX라인	D1	신분당선	D14	동천
DX	DX라인	D1	신분당선	D15	수지구청
DX	DX라인	D1	신분당선	D16	성복
DX	DX라인	D1	신분당선	D17	상현
DX	DX라인	D1	신분당선	D18	광교중앙(아주대)
DX	DX라인	D1	신분당선	D19	광교(경기대)
EV	용인경전철	E1	용인에버라인	Y110	기흥(백남준아트센터)
EV	용인경전철	E1	용인에버라인	Y111	강남대
EV	용인경전철	E1	용인에버라인	Y112	지석
EV	용인경전철	E1	용인에버라인	Y113	어정
EV	용인경전철	E1	용인에버라인	Y114	동백
EV	용인경전철	E1	용인에버라인	Y115	초당
EV	용인경전철	E1	용인에버라인	Y116	삼가
EV	용인경전철	E1	용인에버라인	Y117	시청·용인대
EV	용인경전철	E1	용인에버라인	Y118	명지대
EV	용인경전철	E1	용인에버라인	Y119	김량장
EV	용인경전철	E1	용인에버라인	Y120	운동장·송담대
EV	용인경전철	E1	용인에버라인	Y121	고진
EV	용인경전철	E1	용인에버라인	Y122	보평
EV	용인경전철	E1	용인에버라인	Y123	둔전
EV	용인경전철	E1	용인에버라인	Y124	전대·에버랜드
GJ	광주도시철도	1	1호선	100	녹동
GJ	광주도시철도	1	1호선	101	소태
GJ	광주도시철도	1	1호선	102	학동증심사입구
GJ	광주도시철도	1	1호선	103	남광주
GJ	광주도시철도	1	1호선	104	문화전당
GJ	광주도시철도	1	1호선	105	금남로4가
GJ	광주도시철도	1	1호선	106	금남로5가
GJ	광주도시철도	1	1호선	107	양동시장
GJ	광주도시철도	1	1호선	108	돌고개
GJ	광주도시철도	1	1호선	109	농성
GJ	광주도시철도	1	1호선	110	화정
GJ	광주도시철도	1	1호선	111	쌍촌
GJ	광주도시철도	1	1호선	112	운천
GJ	광주도시철도	1	1호선	113	상무
GJ	광주도시철도	1	1호선	114	김대중컨벤션센터
GJ	광주도시철도	1	1호선	115	공항
GJ	광주도시철도	1	1호선	116	송정공원
GJ	광주도시철도	1	1호선	117	광주송정역
GJ	광주도시철도	1	1호선	118	도산
GJ	광주도시철도	1	1호선	119	평동
GM	김포도시철도	G1	김포골드라인	G100	양촌
GM	김포도시철도	G1	김포골드라인	G101	구래
GM	김포도시철도	G1	김포골드라인	G102	마산
GM	김포도시철도	G1	김포골드라인	G103	장기
